nick,Unnamed: 1,Country/Region,Detail
,,,
FRI,,,
11/21/2025 0:00,M,JPY,Japan fiscal package confirmed at JPY 21.3trn total. Bulk for price relief
11/21/2025 0:00,M,GER,Germany Gains Assurance form China on rare-earth. Thin detail 
11/21/2025 0:00,M,CHF,SNB sees inflation rising slightly in coming quarters. 
11/21/2025 0:00,M,EUR,ECB Pres Largarde calls to bolster domestic consumption to develop/protect EU economy. 'Exports far less reliable engine growth'
11/21/2025 0:00,M,USD,"FED Speak: Miran(-6) Monetary policy overly restrictive supporting Dec cut || Goolsbee(+3)Uneasy for cut from stalled inflation and renewed price pressure still expects Dec cut || Paulson((-2)) Approach Dec cut with caution. Still more concerned with labor softness than inflation w/ recent job gains in just healthcare and social assistance, often sign of labor slowdown"
11/21/2025 0:00,M,USD,NEC Director Hassett (National Economic Council) said to cut rates if leading fed w/ current data supports loosening. Polymarket at 45% for next Fed Chair Candidate
11/21/2025 0:00,M,JPY,"â€œThe government will take appropriate action against disorderly FX moves, including those driven by speculation as needed, in line with the approach set out in the Japan-US joint statement issued in September,â€ FinMin KatayamaÂ told reporters today."
11/21/2025 0:00,M,OIL,Sharp decile with global growth concerns and Ukraine peace plan speculations
11/21/2025 0:00,M,INR,"USDINR spike to >89.40 (through RBI ceiling - Absent from intervention) driven by intervention pause, India-US deal uncertainty/recent inflation undershoot/PMI miss"
,,,
MON,,,
11/24/2025 0:00,M,RISK,Asia/Euro Equities selectively strong - not-comprehensive risk on. Ukraine-Russia positive 'meaningful progress'
11/24/2025 0:00,M,USD,"FED Speak: Collins((+3) more dovish, hasnâ€™t decided on dec but softer than 2w ago after cut"
11/24/2025 0:00,M,USD,BLS not publishing Oct CPI - Nov CPI delayed until 18Dec. Fed will not have additional CPI before Dec decision
11/24/2025 0:00,M,EUR,Trade talks between EU and US - EU requesting tariff exception on sensitive goods. Productive talks over the weekend
11/24/2025 0:00,M,JPY ,Closed for Holiday
,,,
TUE,,,
11/25/2025 0:00,M,JPY,"USDJPY softer overnight after verbal intervention from Growth Strat Min Kiuchi - ""Watching FX with a ""high sense of urgency"". Still soft seeming relative to past intervention"
11/25/2025 0:00,M,USD,"FED Speak: Waller(-5) yesterday morning advocate for dec cut on fox, concerns of labor market. Meeting by meeting beginning in Jan."
11/25/2025 0:00,M,JPY,PM Takaishi said gov is pushing for wage gains comparable to last Yest - base pay increase that outpaces inflation. 
,,,
WED,,,
11/26/2025 0:00,M,GBP,"Budget Overview: Large tax increase worth  Â£30-40bn. Higher than expected Â£25bn increase in employers contribution. Â£70 bn increase in public spending from tax rises and increase borrowing. UK GDP expected increase by 1.5% in 2025, stronger h1. Firms considering slashing headcount and halting hiring, also considering moving to other tax-friendly countries."
11/26/2025 0:00,M,USD,Driven by growing Fed Dec cut conviction and Hassett seeming to be front runner to replace Powel. More attention to the Fed Beige Book given lack of data pre Dec FOMC
11/26/2025 0:00,M,NZD,"RBNZ hawkish shock - 25bp cut to 2.25% but signaled easing cycle likely done. 5-1 for cut-hold. NZGB 2s: +11bp to 2.70%, 10s: +7bp to 3.82% (curve flattening) - RBNZ Feb cut from 50% to 15%"
11/26/2025 0:00,M,AUD,CPI comes in hot (3.8% YoY headline/3.3% YoY core - above RBA 2-3% target) RBA Easing off the table
11/26/2025 0:00,M,EUR,Russia-Ukraine: Von Der Leyen thinks revised US plan a starting point but Russia shows no sign of stopping. German continues to support Ukraine with frozen Russian assets. 
11/26/2025 0:00,M,EUR,"ECB: Vijcic - seeing no reason to ease, Muller - shoulndt rush lower if inflation slight below target. Fiscal "
11/26/2025 0:00,M,JPY,Reuters source BoJ intentionally dropping signals to avoid surprises of BoJ hike in Dec
,,,
THU,,,
11/27/2025 0:00,M,OFF,THANKSGIVING
,,,
FRI,,,
11/28/2025 0:00,M,RISK,"Market liquidity extremely thin w/ CME tech issues, long thanksgiving weekend, no US data. Trump tweets always a risk"
11/28/2025 0:00,M,JPY,"JPY most resilient OTD but biggest Nov loser - Takaichi fiscial stiulas, Taiwan diplomatic comments"
11/28/2025 0:00,M,GBP,"Lloyds Business Barometer (42 from 50) - 2nd drop in 3m, Survey completed pre budget announcement. BoE Greene Yesterday: Cautious tone, inflation stabilized but unsure disinflation persists. Wage growth and business CPI expectations still elevated. "
11/28/2025 0:00,M,EUR,French CPI modest lower than expected. German Chancellor Merz: Seeking to loosen ban on combustion-engine vehicles in EU (ease automotive sector pressure)
11/28/2025 0:00,M,RvU,"Russia-Ukraine: Russia received main points of updated peace plan. Kremlin Peskov: ""Everyone has desire to bring things back to peaceful track"" despite legitimacy concerns"
11/28/2025 0:00,M,JPY,"Tokyo CPI: broadly inline, Headline 2.7% (est 2.7%, Prev 2.7%), Core 2.8% (est 2.7%, Prev 2.8%). Stable above-target core (2.8% vs 2.0% BoJ goal) = sticky inflation. Lack of inflation acceleration gives PM Takaishi room to urge patience in hikes"
11/28/2025 0:00,M,KRW,Industrial Production Collapse: October IP -4.0% MoM (-8.1% YoY) - far below expectations. October IP: -4.0% MoM (-8.1% YoY) - far below expectations. Interpretation: Slump assumed cyclical not structural
11/28/2025 0:00,M,INR,"GDP Beat - Q3 GDP 8.2% YoY (GVA 8.1%) - six-quarter highs, well above RBI and consensus forecasts. December RBI Cut Harder to Justify "
11/28/2025 0:00,M,BRL,"Oct Formal Jobs Undershoot. High rates finally cooling wider economy. Jan rate cut expectations with BCB shifting from ""hold the line"" to steady consistent easing"
,,,
SUN,,,
